Branch_ID,Location,Telephone_No,Email,Budget,Head_ID
JK18,Jammu,Jammu & Kashmir,18003216540,jammu@crimebranch.in,1200050001.00,P108
NI11,New Delhi,India,18001234567,delhi@crimebranch.in,1256000001.00,P093
LU22,Lucknow,Uttar Pradesh,18004567890,lucknow@crimebranch.in,5623147891.00,P049
KW70,Kolkata,West Bengal,18004567890,kolkata@crimebranch.in,4563210001.00,P064
GA78,Guwahati,Assam,18001234567,guwahati@crimebranch.in,6774758946.00,P078
AG38,Ahmedabad,Gujarat,18002109876,ahmedabad@crimebranch.in,8220421735.00,P001
MM40,Mumbai,Maharashtra,18009876543,mumbai@crimebranch.in,9666084524.00,P034
BK56,Bangalore,Karnataka,18003216540,bangalore@crimebranch.in,5656565657.00,P136
HT50,Hyderabad,Telangana,18007890123,hyderabad@crimebranch.in,4965871237.00,P122
CT60,Chennai,Tamil Nadu,18006543210,chennai@crimebranch.in,1200000001.00,P018
