Case_ID,Case_Title,Reporting_Time,Crime_Location,Status
RC-01/2021/ACE/DLI,Death of Shri Yumsen Matey,EX-MLA 56th Khonsa West constituency of Tirap District.,2021-01-01 08:15:00,Tirap District,Tirap District,Delhi,Closed
RC-01/2021/ACE/GUW,Recovery of explosive by 17 Assam Refiles at PS Tipa,District Siaha,Mizoram,2021-01-02 14:30:00,PS Tipa,District Siaha,Mizoram,Open
RC-01/2021/ACE/CHE,Unlawful Activities of Hizb-Tt-Tahrir - HuT members in Hyderabad.,2021-01-03 11:45:00,Hyderabad,Hyderabad,Closed
RC-01/2021/ACE/MUM,Killing of Shri Senthil Kumaran at Villupuram Main Road,Villianur,Pune.,2021-01-04 09:20:00,Villupuram Main Road,Villianur,Pune,Closed
RC-01/2021/ACE/LKW,Lucknow Insurance Forgery: Agents Fabricate Policies to Earn Commissions,2021-01-05 10:30:00,Lucknow,Lucknow,Closed
RC-01/2021/ACE/JMU,Firing of gunshots in close proximity to the residence of one Kuldeep Singh.,2021-01-06 15:45:00,Close proximity to Kuldeep Singh''s residence,Jammu,Closed
RC-06/2021/ACE/CHE,Arrest of 10 foreign nationals along with foreign arms & ammunition at Indian Sea Water.,2021-01-07 16:10:00,Indian Sea Water,Indian Sea Water,Closed
RC-06/2021/ACE/MUM,Pirate Takedown: Special forces board a hijacked cargo ship in international waters,rescuing hostages and apprehending pirates.,2021-01-08 12:30:00,International Waters,International Waters,Closed
RC-06/2021/ACE/GUW,Hatching of a criminal conspiracy to wage war against Govt. of India.,2021-01-09 09:45:00,Kolkata,Kolkata,Closed
RC-01/2021/ACE/BGL,Drone Light Show Sting: Authorities use a seemingly harmless drone light show to distract cartel members before apprehending them during a drug deal.,2021-01-10 17:20:00,Border of BGL,Border of BGL,Closed
RC-02/2021/ACE/DLI,Delhi Lobbying Scandal: Powerful firms accused of bribing politicians to influence legislation.,2021-02-01 08:30:00,Delhi,Delhi,Closed
RC-02/2021/ACE/GUW,Unlawful activities of Terrorists and Gangsters related to prescribed terrorist organization - KTF.,2021-02-02 15:20:00,Guwahati,Guwahati,Closed
RC-02/2021/ACE/HYD,Greenwashing Scheme Exposed: Eco-friendly company''s products found to contain harmful chemicals,leading to a massive consumer fraud lawsuit.,2021-02-03 10:50:00,Hyderabad,Hyderabad,Closed
