Item_Code,Item_Name,Cost
IT01,Revolver,35000.00
IT02,Rifle,75000.00
IT03,Taser,55000.00
IT04,Shotgun,50000.00
IT05,Baton,3000.00
IT06,Handcuffs,1500.00
IT07,Bulletproof Vest,65000.00
IT08,Body Armor,100000.00
IT09,Flashbang Grenade,10000.00
IT10,Gas Mask,7000.00
IT11,Body Camera,25000.00
IT12,Portable Forensic Scanner,200000.00
IT13,GPS Tracker,35000.00
IT14,Listening Device,40000.00
IT15,Thermal Imaging Camera,350000.00
IT16,Handheld Metal Detector,15000.00
IT17,Drone,80000.00
IT18,Smartwatch,20000.00
IT19,Voice Recorder,5000.00
IT20,Smart Glasses,45000.00
IT21,Body Heat Sensor,30000.00
IT22,Evidence Bags,100.00
IT23,Surveillance Camera,20000.00
IT24,Laptop,85000.00
IT25,Digital Camera,45000.00
IT26,Breathalyzer,15000.00
IT27,Metal Detector,35000.00
IT28,First Aid Kit,2000.00
IT29,Fingerprints Dusting Kit,2500.00
IT30,DNA Extraction Kit,25000.00
IT31,Forensic Evidence Collection Kit,10000.00
IT32,Forensic Light Source,30000.00
IT33,Forensic Swab,200.00
IT34,Forensic Kit,15000.00
IT35,Bomb Disposal Suit,500000.00
IT36,Radiation Detector,200000.00
IT37,Identity Theft Investigation Software,120000.00
IT38,Blood Spatter Analysis Equipment,200000.00
IT39,Luminol Spray,10000.00
IT40,Breaching Equipment,100000.00
IT41,Rappelling Gear,40000.00
IT42,Hidden Camera Equipment,50000.00
IT43,Secure Document Shredder,100000.00
IT44,Crime Scene Photography Equipment,150000.00
IT45,Fingerprint Scanner,80000.00
IT46,Hair and Fiber Analysis Kit,30000.00
